file_name,corpus,model_name,model_size,prompt,vocab,mean,sd,vocab_size,total_words,alpha,beta,singleton_count,r
hn_pythia-160m_zeroshotopen.json,hn,pythia,160m,zeroshot,open,66.87,35.84,388618,4012047,1.1667,0.8362,291201,0.999991844
hn_pythia-160m_zeroshotopen.json,hn,pythia,160m,zeroshot,open,66.87,35.84,388618,4012047,1.2741,0.8305,291201,0.999990638
hn_pythia-160m_zeroshotopen.json,hn,pythia,160m,zeroshot,open,66.87,35.84,388618,4012047,1.197,0.8346,291201,0.999996673
book2_humanopen.json,book2,human,none,none,open,68.29,40.76,86942,4097290,43.8929,0.499,39307,0.999739862
book2_humanopen.json,book2,human,none,none,open,68.29,40.76,86942,4097290,42.8171,0.5003,39307,0.999832706
book2_humanopen.json,book2,human,none,none,open,68.29,40.76,86942,4097290,50.2556,0.4899,39307,0.99957204
pubmed_pythia-1.4b_zeroshotopen.json,pubmed,pythia,1.4b,zeroshot,open,193.76,39.46,184639,11625848,5.9288,0.6355,109569,0.999589449
pubmed_pythia-1.4b_zeroshotopen.json,pubmed,pythia,1.4b,zeroshot,open,193.76,39.46,184639,11625848,5.592,0.6391,109569,0.999674064
pubmed_pythia-1.4b_zeroshotopen.json,pubmed,pythia,1.4b,zeroshot,open,193.76,39.46,184639,11625848,6.9656,0.6256,109569,0.999804795
pubmed_opt-350m_zeroshotopen.json,pubmed,opt,350m,zeroshot,open,154.23,74.89,104576,9253678,6.677,0.6017,38216,0.99966248
pubmed_opt-350m_zeroshotopen.json,pubmed,opt,350m,zeroshot,open,154.23,74.89,104576,9253678,7.3916,0.5956,38216,0.999932858
pubmed_opt-350m_zeroshotopen.json,pubmed,opt,350m,zeroshot,open,154.23,74.89,104576,9253678,7.5774,0.5938,38216,0.999767567
wiki_gptneo-1.3b_oneshotclosed.json,wiki,gptneo,1.3b,oneshot,closed,120.57,57.81,47367,7234230,308.2667,0.3198,10344,0.995116099
wiki_gptneo-1.3b_oneshotclosed.json,wiki,gptneo,1.3b,oneshot,closed,120.57,57.81,47367,7234230,301.1206,0.3214,10344,0.994348471
wiki_gptneo-1.3b_oneshotclosed.json,wiki,gptneo,1.3b,oneshot,closed,120.57,57.81,47367,7234230,301.5912,0.3213,10344,0.99539757
